object_id,submodel,sim_av,KN_INDEX,VK,LOGXLAN,LOGMASS
     62187,1,  0.0478, 294,  0.2000,  -9, -1.1249
    139362,1,  0.0807, 168,  0.1000,  -9, -1.6021
    156731,1,  0.2114, 240,  0.3000,  -9, -1.3979
    259823,1,  0.0892, 180,  0.3000,  -9, -1.6021
   1053493,1,  0.1285, 287,  0.1000,  -5, -1.1249
   1573501,1,  0.1406, 318,  0.1000,  -9,  -1
   2176152,1,  0.0280, 300,  0.3000,  -9, -1.1249
   2793774,1,  0.0427, 326,  0.3000,  -3,  -1
   3572446,1,  0.1599, 288,  0.1000,  -9, -1.1249
   4311960,1,  0.1100, 300,  0.3000,  -9, -1.1249
   4428523,1,  0.1189, 282,  0.0500,  -9, -1.1249
   4539153,1,  0.2683, 106,  0.1000,  -4,  -2
   4683865,1,  0.4255, 256,  0.1000,  -4, -1.3010
   4902783,1,  0.0274, 227,  0.1000,  -5, -1.3979
   5102349,1,  0.0308, 298,  0.3000,  -4, -1.1249
   5262481,1,  0.1472, 263,  0.2000,  -5, -1.3010
   6460481,1,  0.0664, 246,  0.0300,  -9, -1.3010
   8071229,1,  0.2224, 204,  0.2000,  -9, -1.5229
  11084451,1,  0.0297, 328,  0.3000,  -5,  -1
  11574036,1,  0.4306, 239,  0.3000,  -5, -1.3979
  11742403,1,  0.0144, 323,  0.2000,  -5,  -1
  11904502,1,  0.0639, 312,  0.0500,  -9,  -1
  13537416,1,  0.1276, 225,  0.1000,  -3, -1.3979
  13783209,1,  0.3057, 323,  0.2000,  -5,  -1
  14740738,1,  0.2812, 282,  0.0500,  -9, -1.1249
  15805725,1,  0.1300, 318,  0.1000,  -9,  -1
  15887434,1,  0.0809, 202,  0.2000,  -4, -1.5229
  15897952,1,  0.2146, 316,  0.1000,  -4,  -1
  16173841,1,  0.2184, 327,  0.3000,  -4,  -1
  16452890,1,  0.0152, 131,  0.0500,  -5, -1.6990
  16808559,1,  0.1352, 285,  0.1000,  -3, -1.1249
  17116737,1,  0.4443, 183,  0.0300,  -3, -1.5229
  17185635,1,  0.1420, 282,  0.0500,  -9, -1.1249
  17524511,1,  0.1074, 196,  0.1000,  -4, -1.5229
  17958346,1,  0.0028, 275,  0.0300,  -5, -1.1249
  18770173,1,  0.1946, 287,  0.1000,  -5, -1.1249
  19183060,1,  0.0177, 143,  0.2000,  -5, -1.6990
  20470513,1,  0.1632, 160,  0.0500,  -4, -1.6021
  20539244,1,  0.0683, 298,  0.3000,  -4, -1.1249
  21087202,1,  0.0613, 245,  0.0300,  -5, -1.3010
  21120961,1,  0.6532, 189,  0.0500,  -3, -1.5229
  21600537,1,  0.0144, 293,  0.2000,  -5, -1.1249
  22245279,1,  0.1256, 317,  0.1000,  -5,  -1
  22691576,1,  0.1023, 329,  0.3000,  -9,  -1
  22741669,1,  0.0682, 234,  0.2000,  -9, -1.3979
  22919207,1,  0.0948, 137,  0.1000,  -5, -1.6990
  23719686,1,  0.1923, 311,  0.0500,  -5,  -1
  23798919,1,  0.0955, 131,  0.0500,  -5, -1.6990
  26684850,1,  0.0793, 159,  0.0500,  -3, -1.6021
  27196252,1,  0.1337, 312,  0.0500,  -9,  -1
  27883625,1,  0.0799, 198,  0.1000,  -9, -1.5229
  28011232,1,  0.6760, 291,  0.2000,  -3, -1.1249
  31089636,1,  0.3029, 322,  0.2000,  -4,  -1
  31292040,1,  0.0065, 243,  0.0300,  -3, -1.3010
  31563138,1,  0.0523, 300,  0.3000,  -9, -1.1249
  32086671,1,  0.4767, 167,  0.1000,  -5, -1.6021
  32208438,1,  0.0475, 282,  0.0500,  -9, -1.1249
  32920272,1,  0.0233, 270,  0.3000,  -9, -1.3010
  33065798,1,  0.1379, 269,  0.3000,  -5, -1.3010
  33107964,1,  0.0357, 288,  0.1000,  -9, -1.1249
  33525366,1,  0.0358, 281,  0.0500,  -5, -1.1249
  35411122,1,  0.0221, 287,  0.1000,  -5, -1.1249
  35630788,1,  0.0098, 286,  0.1000,  -4, -1.1249
  37495525,1,  0.1175, 329,  0.3000,  -9,  -1
  38046883,1,  0.1609, 328,  0.3000,  -5,  -1
  38176071,1,  0.0772, 281,  0.0500,  -5, -1.1249
  38657318,1,  0.1686, 190,  0.0500,  -4, -1.5229
  39725806,1,  0.0195, 323,  0.2000,  -5,  -1
  39745050,1,  0.1242, 318,  0.1000,  -9,  -1
  40044478,1,  0.1617, 263,  0.2000,  -5, -1.3010
  40967400,1,  0.0803, 232,  0.2000,  -4, -1.3979
  41486298,1,  0.0184, 213,  0.0300,  -3, -1.3979
  43623629,1,  0.1641, 154,  0.0300,  -4, -1.6021
  43843517,1,  0.0225, 244,  0.0300,  -4, -1.3010
  44039698,1,  0.0665, 251,  0.0500,  -5, -1.3010
  44467865,1,  0.0475, 311,  0.0500,  -5,  -1
  44564061,1,  0.1583, 285,  0.1000,  -3, -1.1249
  44864629,1,  0.0732, 305,  0.0300,  -5,  -1
  44912814,1,  0.0272, 216,  0.0300,  -9, -1.3979
  45563525,1,  0.0513, 288,  0.1000,  -9, -1.1249
  46005191,1,  0.1155, 275,  0.0300,  -5, -1.1249
  46213566,1,  0.0124, 318,  0.1000,  -9,  -1
  46309240,1,  0.0862, 288,  0.1000,  -9, -1.1249
  46489715,1,  0.0913, 303,  0.0300,  -3,  -1
  46553925,1,  0.1229, 268,  0.3000,  -4, -1.3010
  47142591,1,  0.2044, 287,  0.1000,  -5, -1.1249
  47369282,1,  0.3081, 324,  0.2000,  -9,  -1
  47486590,1,  0.3523, 312,  0.0500,  -9,  -1
  48098969,1,  0.7156, 228,  0.1000,  -9, -1.3979
  49519074,1,  0.1823, 286,  0.1000,  -4, -1.1249
  49850869,1,  0.1762, 304,  0.0300,  -4,  -1
  50120780,1,  0.0859, 236,  0.3000,  -2, -1.3979
  51527253,1,  0.1092, 256,  0.1000,  -4, -1.3010
  52217172,1,  0.0564, 282,  0.0500,  -9, -1.1249
  52701896,1,  0.0954, 226,  0.1000,  -4, -1.3979
  53181529,1,  0.3723, 325,  0.3000,  -2,  -1
  54000531,1,  0.0298, 317,  0.1000,  -5,  -1
  54576546,1,  0.1409, 184,  0.0300,  -4, -1.5229
  54857603,1,  0.1076, 226,  0.1000,  -4, -1.3979
  56498084,1,  0.1200, 287,  0.1000,  -5, -1.1249
  56942944,1,  0.5408, 258,  0.1000,  -9, -1.3010
  57921774,1,  0.1365, 240,  0.3000,  -9, -1.3979
  58673309,1,  0.0817, 243,  0.0300,  -3, -1.3010
  58987552,1,  0.2889, 300,  0.3000,  -9, -1.1249
  59364010,1,  0.0141, 310,  0.0500,  -4,  -1
  59464880,1,  0.1413, 227,  0.1000,  -5, -1.3979
  59698197,1,  0.0075, 244,  0.0300,  -4, -1.3010
  59948874,1,  0.0474, 216,  0.0300,  -9, -1.3979
  61290425,1,  0.0405, 274,  0.0300,  -4, -1.1249
  61543226,1,  0.0373, 291,  0.2000,  -3, -1.1249
  61688145,1,  0.0405, 310,  0.0500,  -4,  -1
  63263529,1,  0.0407, 293,  0.2000,  -5, -1.1249
  63331532,1,  0.1522, 281,  0.0500,  -5, -1.1249
  64724318,1,  0.0369, 214,  0.0300,  -4, -1.3979
  65711410,1,  0.0828, 288,  0.1000,  -9, -1.1249
  66462779,1,  0.0392, 203,  0.2000,  -5, -1.5229
  66740787,1,  0.6704, 251,  0.0500,  -5, -1.3010
  67195030,1,  0.0269, 310,  0.0500,  -4,  -1
  67600070,1,  0.0976, 318,  0.1000,  -9,  -1
  69302706,1,  0.1683, 279,  0.0500,  -3, -1.1249
  69402900,1,  0.1047, 318,  0.1000,  -9,  -1
  69991897,1,  0.1106, 311,  0.0500,  -5,  -1
  70425954,1,  0.0096, 292,  0.2000,  -4, -1.1249
  72116795,1,  0.0621, 250,  0.0500,  -4, -1.3010
  72843509,1,  0.3099, 288,  0.1000,  -9, -1.1249
  74492858,1,  0.2155, 327,  0.3000,  -4,  -1
  74512775,1,  0.0846, 262,  0.2000,  -4, -1.3010
  74943698,1,  0.2337, 322,  0.2000,  -4,  -1
  75080064,1,  0.0122, 226,  0.1000,  -4, -1.3979
  75218022,1,  0.0510, 293,  0.2000,  -5, -1.1249
  75291278,1,  0.0946, 221,  0.0500,  -5, -1.3979
  75617315,1,  0.0679, 312,  0.0500,  -9,  -1
  76457103,1,  0.0046, 195,  0.1000,  -3, -1.5229
  76502136,1,  0.2504, 318,  0.1000,  -9,  -1
  78004281,1,  0.3352, 255,  0.1000,  -3, -1.3010
  79297710,1,  0.0314, 328,  0.3000,  -5,  -1
  79653173,1,  0.0752, 269,  0.3000,  -5, -1.3010
  80839458,1,  0.0240, 185,  0.0300,  -5, -1.5229
  80913604,1,  0.0672, 172,  0.2000,  -4, -1.6021
  81456459,1,  0.0852, 317,  0.1000,  -5,  -1
  82634748,1,  0.9488, 264,  0.2000,  -9, -1.3010
  82688355,1,  0.2955, 136,  0.1000,  -4, -1.6990
  82726557,1,  0.1576, 266,  0.3000,  -2, -1.3010
  83300577,1,  0.0036, 221,  0.0500,  -5, -1.3979
  83334904,1,  0.0583, 293,  0.2000,  -5, -1.1249
  83616213,1,  0.0449, 306,  0.0300,  -9,  -1
  84706583,1,  0.3110, 276,  0.0300,  -9, -1.1249
  85030920,1,  0.0513, 257,  0.1000,  -5, -1.3010
  86490974,1,  0.0470, 300,  0.3000,  -9, -1.1249
  87996402,1,  0.0362, 246,  0.0300,  -9, -1.3010
  89366565,1,  0.7576, 123,  0.0300,  -3, -1.6990
  89526483,1,  0.0749, 326,  0.3000,  -3,  -1
  89733353,1,  0.3763, 282,  0.0500,  -9, -1.1249
  89942025,1,  0.0534, 323,  0.2000,  -5,  -1
  90269218,1,  0.8790, 323,  0.2000,  -5,  -1
  90594778,1,  0.1315, 305,  0.0300,  -5,  -1
  93121505,1,  0.0926, 323,  0.2000,  -5,  -1
  93394704,1,  0.2791, 213,  0.0300,  -3, -1.3979
  93725998,1,  0.2648, 292,  0.2000,  -4, -1.1249
  94048705,1,  0.1527, 306,  0.0300,  -9,  -1
  95229272,1,  0.0878, 305,  0.0300,  -5,  -1
  95541281,1,  0.1437, 304,  0.0300,  -4,  -1
  95937908,1,  0.1464, 312,  0.0500,  -9,  -1
  96619113,1,  0.1334, 244,  0.0300,  -4, -1.3010
  97214939,1,  0.0599, 329,  0.3000,  -9,  -1
  97513848,1,  0.1217, 323,  0.2000,  -5,  -1
  97600661,1,  0.2530, 305,  0.0300,  -5,  -1
  97639845,1,  0.0529, 299,  0.3000,  -5, -1.1249
  97765302,1,  0.0425, 312,  0.0500,  -9,  -1
  98479140,1,  0.0167, 257,  0.1000,  -5, -1.3010
  99449747,1,  0.1313, 269,  0.3000,  -5, -1.3010
  99567253,1,  0.0511, 252,  0.0500,  -9, -1.3010
 100060032,1,  0.1970, 281,  0.0500,  -5, -1.1249
 100131376,1,  0.0419, 220,  0.0500,  -4, -1.3979
 100374516,1,  0.3777, 258,  0.1000,  -9, -1.3010
 101739642,1,  0.0777, 286,  0.1000,  -4, -1.1249
 102551107,1,  0.0662, 326,  0.3000,  -3,  -1
 102599855,1,  0.1074, 240,  0.3000,  -9, -1.3979
 103258429,1,  0.0878, 298,  0.3000,  -4, -1.1249
 103989029,1,  0.0666, 292,  0.2000,  -4, -1.1249
 105385367,1,  0.0288, 288,  0.1000,  -9, -1.1249
 106838481,1,  0.0390, 179,  0.3000,  -5, -1.6021
 107129776,1,  0.0202, 166,  0.1000,  -4, -1.6021
 107341823,1,  0.1203, 197,  0.1000,  -5, -1.5229
 107449552,1,  0.2486, 240,  0.3000,  -9, -1.3979
 108253858,1,  0.0844, 293,  0.2000,  -5, -1.1249
 108305965,1,  0.0608, 251,  0.0500,  -5, -1.3010
 109248765,1,  0.0637, 311,  0.0500,  -5,  -1
 110808232,1,  0.0004, 159,  0.0500,  -3, -1.6021
 111448398,1,  0.0021, 258,  0.1000,  -9, -1.3010
 111897751,1,  0.0134, 328,  0.3000,  -5,  -1
 112288426,1,  0.2046, 228,  0.1000,  -9, -1.3979
 112291085,1,  1.4996, 287,  0.1000,  -5, -1.1249
 112291668,1,  0.0181, 226,  0.1000,  -4, -1.3979
 112709328,1,  0.1752, 288,  0.1000,  -9, -1.1249
 112727857,1,  0.8061, 287,  0.1000,  -5, -1.1249
 113205771,1,  0.1504, 292,  0.2000,  -4, -1.1249
 113330500,1,  0.0298, 310,  0.0500,  -4,  -1
 113547131,1,  0.0067, 221,  0.0500,  -5, -1.3979
 113678572,1,  0.0909, 293,  0.2000,  -5, -1.1249
 113834840,1,  0.0788, 258,  0.1000,  -9, -1.3010
 113851505,1,  0.2879, 270,  0.3000,  -9, -1.3010
 114467134,1,  0.1173, 323,  0.2000,  -5,  -1
 115216047,1,  0.0687, 317,  0.1000,  -5,  -1
 115218002,1,  0.1166, 324,  0.2000,  -9,  -1
 115381923,1,  0.1948, 299,  0.3000,  -5, -1.1249
 115713701,1,  0.0435, 156,  0.0300,  -9, -1.6021
 116654745,1,  0.0140, 101,  0.0500,  -5,  -2
 118230321,1,  0.0450, 238,  0.3000,  -4, -1.3979
 119260275,1,  0.2007, 327,  0.3000,  -4,  -1
 119958730,1,  0.0632, 312,  0.0500,  -9,  -1
 120007012,1,  0.4202, 318,  0.1000,  -9,  -1
 120133856,1,  0.0764, 294,  0.2000,  -9, -1.1249
 120295877,1,  0.0898, 281,  0.0500,  -5, -1.1249
 120627403,1,  0.0710, 275,  0.0300,  -5, -1.1249
 120794836,1,  0.0292, 315,  0.1000,  -3,  -1
 120845357,1,  0.3258, 321,  0.2000,  -3,  -1
 121016694,1,  0.8677, 221,  0.0500,  -5, -1.3979
 121257780,1,  0.0524, 299,  0.3000,  -5, -1.1249
 121326699,1,  0.0096, 107,  0.1000,  -5,  -2
 121520516,1,  0.1052, 243,  0.0300,  -3, -1.3010
 122963326,1,  0.0309, 276,  0.0300,  -9, -1.1249
 124687561,1,  0.0395, 316,  0.1000,  -4,  -1
 125554681,1,  0.0712, 106,  0.1000,  -4,  -2
 125618442,1,  0.2892, 238,  0.3000,  -4, -1.3979
 126864911,1,  0.0124, 274,  0.0300,  -4, -1.1249
 126976895,1,  0.0618, 311,  0.0500,  -5,  -1
 127621981,1,  0.0122, 324,  0.2000,  -9,  -1
 128110659,1,  0.3046, 161,  0.0500,  -5, -1.6021
 128717975,1,  0.3670, 275,  0.0300,  -5, -1.1249
 128742526,1,  0.0222, 310,  0.0500,  -4,  -1
 129328649,1,  0.0303, 324,  0.2000,  -9,  -1
 129808128,1,  0.0110, 274,  0.0300,  -4, -1.1249
 130033455,1,  0.1200, 220,  0.0500,  -4, -1.3979
 130678775,1,  0.4458, 316,  0.1000,  -4,  -1
